,time,Andmyran_a1
0,2000-01-01 04:00:00,8.96
1,2000-01-01 05:00:00,7.77
2,2000-01-01 06:00:00,7.71
3,2000-01-01 07:00:00,8.13
4,2000-01-01 08:00:00,8.98
5,2000-01-01 09:00:00,9.58
6,2000-01-01 10:00:00,10.37
7,2000-01-01 11:00:00,10.38
8,2000-01-01 12:00:00,11.51
9,2000-01-01 13:00:00,11.61
10,2000-01-01 14:00:00,10.65
11,2000-01-01 15:00:00,10.75
12,2000-01-01 16:00:00,9.78
13,2000-01-01 17:00:00,10.18
14,2000-01-01 18:00:00,11.17
15,2000-01-01 19:00:00,11.74
16,2000-01-01 20:00:00,12.41
17,2000-01-01 21:00:00,10.53
18,2000-01-01 22:00:00,11.27
19,2000-01-01 23:00:00,13.6
20,2000-01-02 00:00:00,11.5
21,2000-01-02 01:00:00,15.81
22,2000-01-02 02:00:00,17.02
23,2000-01-02 03:00:00,16.71
24,2000-01-02 04:00:00,15.75
25,2000-01-02 05:00:00,16.48
26,2000-01-02 06:00:00,15.35
27,2000-01-02 07:00:00,14.58
28,2000-01-02 08:00:00,11.62
29,2000-01-02 09:00:00,11.63
30,2000-01-02 10:00:00,11.22
31,2000-01-02 11:00:00,7.97
32,2000-01-02 12:00:00,6.15
33,2000-01-02 13:00:00,10.26
34,2000-01-02 14:00:00,10.19
35,2000-01-02 15:00:00,12.46
36,2000-01-02 16:00:00,9.82
37,2000-01-02 17:00:00,11.96
38,2000-01-02 18:00:00,11.61
39,2000-01-02 19:00:00,13.42
40,2000-01-02 20:00:00,13.27
41,2000-01-02 21:00:00,12.05
42,2000-01-02 22:00:00,15.96
43,2000-01-02 23:00:00,12.02
44,2000-01-03 00:00:00,15.04
45,2000-01-03 01:00:00,15.05
46,2000-01-03 02:00:00,16.9
47,2000-01-03 03:00:00,15.67
48,2000-01-03 04:00:00,14.82
49,2000-01-03 05:00:00,13.99
50,2000-01-03 06:00:00,11.47
51,2000-01-03 07:00:00,13.98
52,2000-01-03 08:00:00,15.05
53,2000-01-03 09:00:00,14.93
54,2000-01-03 10:00:00,13.81
55,2000-01-03 11:00:00,12.38
56,2000-01-03 12:00:00,11.32
57,2000-01-03 13:00:00,11.3
58,2000-01-03 14:00:00,6.92
59,2000-01-03 15:00:00,5.84
60,2000-01-03 16:00:00,8.99
61,2000-01-03 17:00:00,8.53
62,2000-01-03 18:00:00,7.59
63,2000-01-03 19:00:00,9.02
64,2000-01-03 20:00:00,7.49
65,2000-01-03 21:00:00,8.58
66,2000-01-03 22:00:00,7.67
67,2000-01-03 23:00:00,10.35
68,2000-01-04 00:00:00,9.14
69,2000-01-04 01:00:00,7.98
70,2000-01-04 02:00:00,9.43
71,2000-01-04 03:00:00,8.76
72,2000-01-04 04:00:00,4.04
73,2000-01-04 05:00:00,4.11
74,2000-01-04 06:00:00,6.27
75,2000-01-04 07:00:00,5.28
76,2000-01-04 08:00:00,3.12
77,2000-01-04 09:00:00,3.65
78,2000-01-04 10:00:00,3.92
79,2000-01-04 11:00:00,3.78
80,2000-01-04 12:00:00,3.89
81,2000-01-04 13:00:00,3.4
82,2000-01-04 14:00:00,3.71
83,2000-01-04 15:00:00,4.54
84,2000-01-04 16:00:00,5.33
85,2000-01-04 17:00:00,6.35
86,2000-01-04 18:00:00,8.4
87,2000-01-04 19:00:00,10.86
88,2000-01-04 20:00:00,7.53
89,2000-01-04 21:00:00,9.59
90,2000-01-04 22:00:00,6.16
91,2000-01-04 23:00:00,9.49
92,2000-01-05 00:00:00,9.29
93,2000-01-05 01:00:00,7.32
94,2000-01-05 02:00:00,8.08
95,2000-01-05 03:00:00,10.59
96,2000-01-05 04:00:00,8.34
97,2000-01-05 05:00:00,8.91
98,2000-01-05 06:00:00,8.06
99,2000-01-05 07:00:00,7.4
100,2000-01-05 08:00:00,5.88
101,2000-01-05 09:00:00,7.31
102,2000-01-05 10:00:00,5.13
103,2000-01-05 11:00:00,4.64
104,2000-01-05 12:00:00,6.01
105,2000-01-05 13:00:00,6.14
106,2000-01-05 14:00:00,5.31
107,2000-01-05 15:00:00,7.37
108,2000-01-05 16:00:00,9.21
109,2000-01-05 17:00:00,8.1
110,2000-01-05 18:00:00,10.09
111,2000-01-05 19:00:00,9.02
112,2000-01-05 20:00:00,9.46
113,2000-01-05 21:00:00,11.77
114,2000-01-05 22:00:00,9.24
115,2000-01-05 23:00:00,10.23
116,2000-01-06 00:00:00,9.6
117,2000-01-06 01:00:00,10.26
118,2000-01-06 02:00:00,12.31
119,2000-01-06 03:00:00,10.99
120,2000-01-06 04:00:00,9.75
121,2000-01-06 05:00:00,10.38
122,2000-01-06 06:00:00,11.37
123,2000-01-06 07:00:00,11.72
124,2000-01-06 08:00:00,13.46
125,2000-01-06 09:00:00,13.56
126,2000-01-06 10:00:00,14.67
127,2000-01-06 11:00:00,13.77
128,2000-01-06 12:00:00,14.58
129,2000-01-06 13:00:00,14.9
130,2000-01-06 14:00:00,15.62
131,2000-01-06 15:00:00,16.11
132,2000-01-06 16:00:00,16.4
133,2000-01-06 17:00:00,15.85
134,2000-01-06 18:00:00,16.9
135,2000-01-06 19:00:00,17.73
136,2000-01-06 20:00:00,15.76
137,2000-01-06 21:00:00,10.51
138,2000-01-06 22:00:00,11.25
139,2000-01-06 23:00:00,11.71
140,2000-01-07 00:00:00,14.68
141,2000-01-07 01:00:00,14.49
142,2000-01-07 02:00:00,11.84
143,2000-01-07 03:00:00,16.35
144,2000-01-07 04:00:00,13.13
145,2000-01-07 05:00:00,13.65
146,2000-01-07 06:00:00,12.96
147,2000-01-07 07:00:00,13.44
148,2000-01-07 08:00:00,10.5
149,2000-01-07 09:00:00,18.81
150,2000-01-07 10:00:00,17.84
151,2000-01-07 11:00:00,16.8
152,2000-01-07 12:00:00,15.69
153,2000-01-07 13:00:00,14.15
154,2000-01-07 14:00:00,9.95
155,2000-01-07 15:00:00,9.51
156,2000-01-07 16:00:00,9.77
157,2000-01-07 17:00:00,11.87
158,2000-01-07 18:00:00,11.49
159,2000-01-07 19:00:00,15.44
160,2000-01-07 20:00:00,15.54
161,2000-01-07 21:00:00,15.11
162,2000-01-07 22:00:00,15.58
163,2000-01-07 23:00:00,19.13
164,2000-01-08 00:00:00,12.25
165,2000-01-08 01:00:00,14.67
166,2000-01-08 02:00:00,15.74
167,2000-01-08 03:00:00,11.71
168,2000-01-08 04:00:00,10.54
169,2000-01-08 05:00:00,12.76
170,2000-01-08 06:00:00,9.74
171,2000-01-08 07:00:00,9.43
172,2000-01-08 08:00:00,9.25
173,2000-01-08 09:00:00,9.89
174,2000-01-08 10:00:00,7.44
175,2000-01-08 11:00:00,9.73
176,2000-01-08 12:00:00,10.37
177,2000-01-08 13:00:00,10.4
178,2000-01-08 14:00:00,11.05
179,2000-01-08 15:00:00,10.81
180,2000-01-08 16:00:00,11.57
181,2000-01-08 17:00:00,9.76
182,2000-01-08 18:00:00,8.56
183,2000-01-08 19:00:00,6.43
184,2000-01-08 20:00:00,11.17
185,2000-01-08 21:00:00,9.95
186,2000-01-08 22:00:00,10.22
187,2000-01-08 23:00:00,5.91
188,2000-01-09 00:00:00,11.05
189,2000-01-09 01:00:00,10.67
190,2000-01-09 02:00:00,8.24
191,2000-01-09 03:00:00,9.56
192,2000-01-09 04:00:00,16.82
193,2000-01-09 05:00:00,16.25
194,2000-01-09 06:00:00,15.14
195,2000-01-09 07:00:00,13.2
196,2000-01-09 08:00:00,15.3
197,2000-01-09 09:00:00,14.52
198,2000-01-09 10:00:00,13.62
199,2000-01-09 11:00:00,15.34
200,2000-01-09 12:00:00,12.17
201,2000-01-09 13:00:00,14.23
202,2000-01-09 14:00:00,15.09
203,2000-01-09 15:00:00,14.03
204,2000-01-09 16:00:00,14.64
205,2000-01-09 17:00:00,18.52
206,2000-01-09 18:00:00,21.87
207,2000-01-09 19:00:00,16.73
208,2000-01-09 20:00:00,19.13
209,2000-01-09 21:00:00,18.1
210,2000-01-09 22:00:00,18.41
211,2000-01-09 23:00:00,17.86
212,2000-01-10 00:00:00,18.27
213,2000-01-10 01:00:00,17.99
214,2000-01-10 02:00:00,16.66
215,2000-01-10 03:00:00,16.76
216,2000-01-10 04:00:00,12.34
217,2000-01-10 05:00:00,11.97
218,2000-01-10 06:00:00,12.07
219,2000-01-10 07:00:00,12.57
220,2000-01-10 08:00:00,6.76
221,2000-01-10 09:00:00,10.64
222,2000-01-10 10:00:00,7.91
223,2000-01-10 11:00:00,7.39
224,2000-01-10 12:00:00,10.39
225,2000-01-10 13:00:00,7.52
226,2000-01-10 14:00:00,6.82
227,2000-01-10 15:00:00,6.49
228,2000-01-10 16:00:00,7.29
229,2000-01-10 17:00:00,10.39
230,2000-01-10 18:00:00,11.31
231,2000-01-10 19:00:00,11.7
232,2000-01-10 20:00:00,11.61
233,2000-01-10 21:00:00,13.49
234,2000-01-10 22:00:00,10.98
235,2000-01-10 23:00:00,12.12
236,2000-01-11 00:00:00,9.88
237,2000-01-11 01:00:00,12.23
238,2000-01-11 02:00:00,12.19
239,2000-01-11 03:00:00,15.71
240,2000-01-11 04:00:00,11.18
241,2000-01-11 05:00:00,10.36
242,2000-01-11 06:00:00,12.53
243,2000-01-11 07:00:00,9.39
244,2000-01-11 08:00:00,10.24
245,2000-01-11 09:00:00,10.74
246,2000-01-11 10:00:00,9.27
247,2000-01-11 11:00:00,11.6
248,2000-01-11 12:00:00,15.98
249,2000-01-11 13:00:00,15.97
250,2000-01-11 14:00:00,16.75
251,2000-01-11 15:00:00,15.23
252,2000-01-11 16:00:00,14.73
253,2000-01-11 17:00:00,17.18
254,2000-01-11 18:00:00,12.32
255,2000-01-11 19:00:00,15.89
256,2000-01-11 20:00:00,15.9
257,2000-01-11 21:00:00,17.21
258,2000-01-11 22:00:00,15.9
259,2000-01-11 23:00:00,13.93
260,2000-01-12 00:00:00,8.76
261,2000-01-12 01:00:00,9.74
262,2000-01-12 02:00:00,5.99
263,2000-01-12 03:00:00,8.25
264,2000-01-12 04:00:00,9.0
265,2000-01-12 05:00:00,8.99
266,2000-01-12 06:00:00,8.41
267,2000-01-12 07:00:00,8.58
268,2000-01-12 08:00:00,7.91
269,2000-01-12 09:00:00,6.37
270,2000-01-12 10:00:00,5.26
271,2000-01-12 11:00:00,4.23
272,2000-01-12 12:00:00,6.74
273,2000-01-12 13:00:00,4.5
274,2000-01-12 14:00:00,4.07
275,2000-01-12 15:00:00,5.29
276,2000-01-12 16:00:00,6.64
277,2000-01-12 17:00:00,0.22
278,2000-01-12 18:00:00,0.45
279,2000-01-12 19:00:00,0.87
280,2000-01-12 20:00:00,4.64
281,2000-01-12 21:00:00,4.01
282,2000-01-12 22:00:00,3.07
283,2000-01-12 23:00:00,7.19
284,2000-01-13 00:00:00,12.51
285,2000-01-13 01:00:00,11.13
286,2000-01-13 02:00:00,8.04
287,2000-01-13 03:00:00,8.03
288,2000-01-13 04:00:00,4.03
289,2000-01-13 05:00:00,6.26
290,2000-01-13 06:00:00,6.89
291,2000-01-13 07:00:00,7.75
292,2000-01-13 08:00:00,7.66
293,2000-01-13 09:00:00,5.56
294,2000-01-13 10:00:00,4.71
295,2000-01-13 11:00:00,7.5
296,2000-01-13 12:00:00,4.04
297,2000-01-13 13:00:00,6.5
298,2000-01-13 14:00:00,9.5
299,2000-01-13 15:00:00,8.93
300,2000-01-13 16:00:00,10.4
301,2000-01-13 17:00:00,11.16
302,2000-01-13 18:00:00,10.04
303,2000-01-13 19:00:00,8.06
304,2000-01-13 20:00:00,9.61
305,2000-01-13 21:00:00,8.81
306,2000-01-13 22:00:00,8.11
307,2000-01-13 23:00:00,8.33
308,2000-01-14 00:00:00,8.64
309,2000-01-14 01:00:00,7.96
310,2000-01-14 02:00:00,6.42
311,2000-01-14 03:00:00,8.76
312,2000-01-14 04:00:00,11.21
313,2000-01-14 05:00:00,12.24
314,2000-01-14 06:00:00,9.61
315,2000-01-14 07:00:00,8.82
316,2000-01-14 08:00:00,11.41
317,2000-01-14 09:00:00,15.31
318,2000-01-14 10:00:00,14.26
319,2000-01-14 11:00:00,9.73
320,2000-01-14 12:00:00,13.81
321,2000-01-14 13:00:00,13.31
322,2000-01-14 14:00:00,12.11
323,2000-01-14 15:00:00,13.28
324,2000-01-14 16:00:00,13.29
325,2000-01-14 17:00:00,10.71
326,2000-01-14 18:00:00,12.19
327,2000-01-14 19:00:00,10.15
328,2000-01-14 20:00:00,9.54
329,2000-01-14 21:00:00,6.16
330,2000-01-14 22:00:00,10.55
331,2000-01-14 23:00:00,10.9
332,2000-01-15 00:00:00,10.36
333,2000-01-15 01:00:00,10.58
334,2000-01-15 02:00:00,9.66
335,2000-01-15 03:00:00,9.14
336,2000-01-15 04:00:00,7.5
337,2000-01-15 05:00:00,7.84
338,2000-01-15 06:00:00,7.49
339,2000-01-15 07:00:00,6.8
340,2000-01-15 08:00:00,4.69
341,2000-01-15 09:00:00,4.77
342,2000-01-15 10:00:00,5.8
343,2000-01-15 11:00:00,5.46
344,2000-01-15 12:00:00,5.17
345,2000-01-15 13:00:00,5.13
346,2000-01-15 14:00:00,4.03
347,2000-01-15 15:00:00,3.68
348,2000-01-15 16:00:00,3.95
349,2000-01-15 17:00:00,4.34
350,2000-01-15 18:00:00,3.2
351,2000-01-15 19:00:00,6.8
352,2000-01-15 20:00:00,6.96
353,2000-01-15 21:00:00,7.51
354,2000-01-15 22:00:00,9.29
355,2000-01-15 23:00:00,10.78
356,2000-01-16 00:00:00,10.48
357,2000-01-16 01:00:00,14.52
358,2000-01-16 02:00:00,15.32
359,2000-01-16 03:00:00,16.0
360,2000-01-16 04:00:00,17.0
361,2000-01-16 05:00:00,16.61
362,2000-01-16 06:00:00,15.57
363,2000-01-16 07:00:00,19.25
364,2000-01-16 08:00:00,16.72
365,2000-01-16 09:00:00,16.43
366,2000-01-16 10:00:00,14.31
367,2000-01-16 11:00:00,14.24
368,2000-01-16 12:00:00,16.68
369,2000-01-16 13:00:00,16.55
370,2000-01-16 14:00:00,16.98
371,2000-01-16 15:00:00,17.75
372,2000-01-16 16:00:00,16.83
373,2000-01-16 17:00:00,16.8
374,2000-01-16 18:00:00,14.63
375,2000-01-16 19:00:00,14.44
376,2000-01-16 20:00:00,14.43
377,2000-01-16 21:00:00,11.11
378,2000-01-16 22:00:00,16.4
379,2000-01-16 23:00:00,13.3
380,2000-01-17 00:00:00,14.24
381,2000-01-17 01:00:00,15.17
382,2000-01-17 02:00:00,13.91
383,2000-01-17 03:00:00,18.18
384,2000-01-17 04:00:00,16.58
385,2000-01-17 05:00:00,16.28
386,2000-01-17 06:00:00,16.19
387,2000-01-17 07:00:00,16.58
388,2000-01-17 08:00:00,14.71
389,2000-01-17 09:00:00,15.16
390,2000-01-17 10:00:00,14.28
391,2000-01-17 11:00:00,9.57
392,2000-01-17 12:00:00,10.9
393,2000-01-17 13:00:00,11.62
394,2000-01-17 14:00:00,11.88
395,2000-01-17 15:00:00,10.63
396,2000-01-17 16:00:00,11.13
397,2000-01-17 17:00:00,13.92
398,2000-01-17 18:00:00,14.47
399,2000-01-17 19:00:00,13.66
400,2000-01-17 20:00:00,12.27
401,2000-01-17 21:00:00,11.16
402,2000-01-17 22:00:00,10.2
403,2000-01-17 23:00:00,8.28
404,2000-01-18 00:00:00,6.48
405,2000-01-18 01:00:00,4.54
406,2000-01-18 02:00:00,3.39
407,2000-01-18 03:00:00,2.28
408,2000-01-18 04:00:00,4.17
409,2000-01-18 05:00:00,2.48
410,2000-01-18 06:00:00,2.27
411,2000-01-18 07:00:00,4.17
412,2000-01-18 08:00:00,3.75
413,2000-01-18 09:00:00,7.57
414,2000-01-18 10:00:00,14.6
415,2000-01-18 11:00:00,12.37
416,2000-01-18 12:00:00,9.56
417,2000-01-18 13:00:00,11.62
418,2000-01-18 14:00:00,10.22
419,2000-01-18 15:00:00,10.73
420,2000-01-18 16:00:00,10.28
421,2000-01-18 17:00:00,10.41
422,2000-01-18 18:00:00,9.21
423,2000-01-18 19:00:00,8.35
424,2000-01-18 20:00:00,5.55
425,2000-01-18 21:00:00,3.89
426,2000-01-18 22:00:00,5.17
427,2000-01-18 23:00:00,10.9
428,2000-01-19 00:00:00,13.67
429,2000-01-19 01:00:00,14.74
430,2000-01-19 02:00:00,10.62
431,2000-01-19 03:00:00,12.39
432,2000-01-19 04:00:00,12.38
433,2000-01-19 05:00:00,11.44
434,2000-01-19 06:00:00,10.9
435,2000-01-19 07:00:00,14.57
436,2000-01-19 08:00:00,10.87
437,2000-01-19 09:00:00,12.84
438,2000-01-19 10:00:00,12.2
439,2000-01-19 11:00:00,15.94
440,2000-01-19 12:00:00,14.46
441,2000-01-19 13:00:00,12.38
442,2000-01-19 14:00:00,16.09
443,2000-01-19 15:00:00,10.28
444,2000-01-19 16:00:00,15.11
445,2000-01-19 17:00:00,14.16
446,2000-01-19 18:00:00,10.66
447,2000-01-19 19:00:00,12.87
448,2000-01-19 20:00:00,11.01
449,2000-01-19 21:00:00,12.14
450,2000-01-19 22:00:00,12.34
451,2000-01-19 23:00:00,14.56
452,2000-01-20 00:00:00,16.7
453,2000-01-20 01:00:00,16.69
454,2000-01-20 02:00:00,16.52
455,2000-01-20 03:00:00,16.76
456,2000-01-20 04:00:00,15.87
457,2000-01-20 05:00:00,16.74
458,2000-01-20 06:00:00,16.54
459,2000-01-20 07:00:00,16.7
460,2000-01-20 08:00:00,16.77
461,2000-01-20 09:00:00,12.54
462,2000-01-20 10:00:00,14.19
463,2000-01-20 11:00:00,15.52
464,2000-01-20 12:00:00,13.98
465,2000-01-20 13:00:00,10.37
466,2000-01-20 14:00:00,11.33
467,2000-01-20 15:00:00,15.34
468,2000-01-20 16:00:00,14.24
469,2000-01-20 17:00:00,12.53
470,2000-01-20 18:00:00,13.37
471,2000-01-20 19:00:00,14.05
472,2000-01-20 20:00:00,12.69
473,2000-01-20 21:00:00,9.12
474,2000-01-20 22:00:00,12.5
475,2000-01-20 23:00:00,13.09
476,2000-01-21 00:00:00,12.52
477,2000-01-21 01:00:00,11.65
478,2000-01-21 02:00:00,10.91
479,2000-01-21 03:00:00,9.72
480,2000-01-21 04:00:00,6.02
481,2000-01-21 05:00:00,7.39
482,2000-01-21 06:00:00,10.97
483,2000-01-21 07:00:00,9.58
484,2000-01-21 08:00:00,6.14
485,2000-01-21 09:00:00,10.22
486,2000-01-21 10:00:00,8.31
487,2000-01-21 11:00:00,6.27
488,2000-01-21 12:00:00,4.28
489,2000-01-21 13:00:00,0.96
490,2000-01-21 14:00:00,3.84
491,2000-01-21 15:00:00,2.27
492,2000-01-21 16:00:00,4.41
493,2000-01-21 17:00:00,0.98
494,2000-01-21 18:00:00,4.43
495,2000-01-21 19:00:00,2.68
496,2000-01-21 20:00:00,4.57
497,2000-01-21 21:00:00,6.21
498,2000-01-21 22:00:00,3.81
499,2000-01-21 23:00:00,3.54
500,2000-01-22 00:00:00,2.54
501,2000-01-22 01:00:00,1.93
502,2000-01-22 02:00:00,3.21
503,2000-01-22 03:00:00,3.61
504,2000-01-22 04:00:00,4.59
505,2000-01-22 05:00:00,3.23
506,2000-01-22 06:00:00,4.61
507,2000-01-22 07:00:00,5.27
508,2000-01-22 08:00:00,3.33
509,2000-01-22 09:00:00,2.49
510,2000-01-22 10:00:00,2.97
511,2000-01-22 11:00:00,2.96
512,2000-01-22 12:00:00,2.75
513,2000-01-22 13:00:00,4.8
514,2000-01-22 14:00:00,3.39
515,2000-01-22 15:00:00,3.69
516,2000-01-22 16:00:00,1.86
517,2000-01-22 17:00:00,3.06
518,2000-01-22 18:00:00,5.35
519,2000-01-22 19:00:00,3.38
520,2000-01-22 20:00:00,5.46
521,2000-01-22 21:00:00,3.5
522,2000-01-22 22:00:00,6.46
523,2000-01-22 23:00:00,5.34
524,2000-01-23 00:00:00,6.29
525,2000-01-23 01:00:00,7.24
526,2000-01-23 02:00:00,5.61
527,2000-01-23 03:00:00,4.45
528,2000-01-23 04:00:00,4.83
529,2000-01-23 05:00:00,5.63
530,2000-01-23 06:00:00,6.36
531,2000-01-23 07:00:00,6.91
532,2000-01-23 08:00:00,6.55
533,2000-01-23 09:00:00,7.07
534,2000-01-23 10:00:00,6.37
535,2000-01-23 11:00:00,6.35
536,2000-01-23 12:00:00,7.57
537,2000-01-23 13:00:00,7.3
538,2000-01-23 14:00:00,8.17
539,2000-01-23 15:00:00,8.9
540,2000-01-23 16:00:00,8.45
541,2000-01-23 17:00:00,7.79
542,2000-01-23 18:00:00,7.54
543,2000-01-23 19:00:00,7.94
544,2000-01-23 20:00:00,8.07
545,2000-01-23 21:00:00,8.02
546,2000-01-23 22:00:00,8.71
547,2000-01-23 23:00:00,9.03
548,2000-01-24 00:00:00,8.51
549,2000-01-24 01:00:00,9.75
550,2000-01-24 02:00:00,10.38
551,2000-01-24 03:00:00,10.08
552,2000-01-24 04:00:00,5.51
553,2000-01-24 05:00:00,5.74
554,2000-01-24 06:00:00,4.87
555,2000-01-24 07:00:00,4.46
556,2000-01-24 08:00:00,4.72
557,2000-01-24 09:00:00,4.87
558,2000-01-24 10:00:00,6.01
559,2000-01-24 11:00:00,5.46
560,2000-01-24 12:00:00,5.75
561,2000-01-24 13:00:00,6.01
562,2000-01-24 14:00:00,6.84
563,2000-01-24 15:00:00,7.06
564,2000-01-24 16:00:00,7.8
565,2000-01-24 17:00:00,11.58
566,2000-01-24 18:00:00,12.85
567,2000-01-24 19:00:00,15.48
568,2000-01-24 20:00:00,17.2
569,2000-01-24 21:00:00,20.47
